filepath,disease,signer,label
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_7.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_18.npy,STOMACH ACHE,arinjit kataki,39
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_21_21_Pro.npy,Sneeze,anindita,40
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_36.npy,Ear Ache,biraj,19
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_31_49_Pro.npy,Back Ache,rinki,5
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_15.npy,CONJUCTIVITIES,akash,10
landmarks/FLU/harkhapratim gogoi/HARKAPRATIM_8.npy,FLU,harkhapratim gogoi,20
landmarks/TB/harkhapratim gogoi/HARKHAPRATIM_5.npy,TB,harkhapratim gogoi,44
landmarks/Diabetes/rajkumar/RAJKUMAR_16.npy,Diabetes,rajkumar,17
landmarks/Rash/Shubham/Shubham__Shubham__SHUBHAM_2.npy,Rash,shubham,34
landmarks/CONJUCTIVITIES/SURESH/SURESH__SURESH__SURESH_5.npy,CONJUCTIVITIES,suresh,10
landmarks/CONJUCTIVITIES/NARESH/NARESH__NARESH__NARESH_25.npy,CONJUCTIVITIES,naresh,10
landmarks/Rash/Umiraj/Umiraj__Umiraj__UMIRAJ_3.npy,Rash,umiraj,34
landmarks/MUMPSE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_33.npy,MUMPSE,arinjit kataki,31
landmarks/Broken Arm/Umiraj/Umiraj__Umiraj__UMIRAJ_20.npy,Broken Arm,umiraj,8
landmarks/BRUISE/arinjit kataki/ARINJIT_16.npy,BRUISE,arinjit kataki,4
landmarks/Hiv/rinki/RINKI_4.npy,Hiv,rinki,27
landmarks/SORE THROAT/prakash/PRAKASH_2.npy,SORE THROAT,prakash,37
landmarks/Cramp/Junali/Junali__Junali__Junali_13.npy,Cramp,junali,14
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_16.npy,Cough,shubham,13
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_2.npy,Ear Ache,biraj,19
landmarks/BROKEN BONES/chayanika/CHAYANIKA_14.npy,BROKEN BONES,chayanika,3
landmarks/TB/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_6.npy,TB,arinjit kataki,44
landmarks/Diabetes/rajkumar/RAJKUMAR_23.npy,Diabetes,rajkumar,17
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_23.npy,Cold,bishal,12
landmarks/ASTHMA/AKASH/AKASH__AKASH__AKASH_12.npy,ASTHMA,akash,0
landmarks/Bone Fracture/rupanjali/RUPANJALI_29.npy,Bone Fracture,rupanjali,7
landmarks/Itch/rajkumar/RAJKUMAR_4.npy,Itch,rajkumar,29
landmarks/Swell/Rinki/Rinki__Rinki__WIN_20250602_12_43_05_Pro.npy,Swell,rinki,43
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_8.npy,Ear Ache,biraj,19
landmarks/Sore Finger/Junali/Junali__Junali__Junali_8.npy,Sore Finger,junali,41
landmarks/Bleed/rajkumar/RAJKUMAR_57.npy,Bleed,rajkumar,6
landmarks/Fever/Rinki/Rinki__Rinki__Rinki_4.npy,Fever,rinki,22
landmarks/CONJUCTIVITIES/NARESH/NARESH__NARESH__NARESH_17.npy,CONJUCTIVITIES,naresh,10
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_22.npy,Cut,biraj,15
landmarks/SORE THROAT/pranati/PRANATI_13.npy,SORE THROAT,pranati,37
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_19.npy,SHOULDER PAIN,chayanika,36
landmarks/Cough/Biraj/Biraj__Biraj__BIRAJ_2.npy,Cough,biraj,13
landmarks/RUNNY NOSE/prakash/PRAKASH_25.npy,RUNNY NOSE,prakash,33
landmarks/BROKEN BONES/arinjit kataki/ARINJIT_22.npy,BROKEN BONES,arinjit kataki,3
landmarks/Itch/rajkumar/RAJKUMAR_15.npy,Itch,rajkumar,29
landmarks/Injury/Bishal/Bishal__Bishal__BISHAL_14.npy,Injury,bishal,28
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_37.npy,Ear Ache,biraj,19
landmarks/CONJUCTIVITIES/NARESH/NARESH__NARESH__NARESH_6.npy,CONJUCTIVITIES,naresh,10
landmarks/Back Ache/Rinki/Rinki__Rinki__Rinki_20.npy,Back Ache,rinki,5
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_17.npy,JAUNDICE,arinjit kataki,30
landmarks/Sneeze/Junali/Junali__Junali__Junali_6.npy,Sneeze,junali,40
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_2.npy,BLOOD PRESSURE,akash,2
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_32_22_Pro.npy,Back Ache,rinki,5
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_7.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/Measles/rinki/RINKI_31.npy,Measles,rinki,32
landmarks/FLU/arinjit kataki/ARINJIT_14.npy,FLU,arinjit kataki,20
landmarks/JAUNDICE/NARESH/NARESH__NARESH__NARESH_15.npy,JAUNDICE,naresh,30
landmarks/Bone Fracture/rajkumar/RAJKUMAR_7.npy,Bone Fracture,rajkumar,7
landmarks/nausea/rupanjali/RUPANJALI_17.npy,nausea,rupanjali,47
landmarks/Dizziness/Junali/Junali__Junali__WIN_20250602_11_49_25_Pro.npy,Dizziness,junali,18
landmarks/Fever/anindita/Anindita_22.npy,Fever,anindita,22
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_14.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Swell/Rinki/Rinki__Rinki__WIN_20250602_12_43_14_Pro.npy,Swell,rinki,43
landmarks/nausea/Rajkumar/Rajkumar__Rajkumar__RAJKUMAR_13.npy,nausea,rajkumar,47
landmarks/STD/AKASH/AKASH__AKASH__AKASH_35.npy,STD,akash,38
landmarks/Allergies/Biraj/Biraj__Biraj__BIRAJ_23.npy,Allergies,biraj,1
landmarks/Cramp/Anindita/Anindita__Anindita__WIN_20250602_12_25_55_Pro.npy,Cramp,anindita,14
landmarks/Bleed/rajkumar/RAJKUMAR_12.npy,Bleed,rajkumar,6
landmarks/Cold/Shubham/Shubham__Shubham__SHUBHAM_10.npy,Cold,shubham,12
landmarks/TB/harkhapratim gogoi/HARKHAPRATIM_7.npy,TB,harkhapratim gogoi,44
landmarks/Fever/anindita/Anindita_18.npy,Fever,anindita,22
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_2.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/Ear Ache/Umiraj/Umiraj__Umiraj__UMIRAJ_18.npy,Ear Ache,umiraj,19
landmarks/Cramp/Anindita/Anindita__Anindita__WIN_20250602_12_25_25_Pro.npy,Cramp,anindita,14
landmarks/Cough/Kalyan/Kalyan__Kalyan__KALYAN_17.npy,Cough,kalyan,13
landmarks/STD/NARESH/NARESH__NARESH__NARESH_30.npy,STD,naresh,38
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_20.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Faint/junali/JUNALI_2.npy,Faint,junali,21
landmarks/Ear Ache/Umiraj/Umiraj__Umiraj__UMIRAJ_22.npy,Ear Ache,umiraj,19
landmarks/CONJUCTIVITIES/SURESH/SURESH__SURESH__SURESH_2.npy,CONJUCTIVITIES,suresh,10
landmarks/Bleed/rajkumar/RAJKUMAR_19.npy,Bleed,rajkumar,6
landmarks/Vomit/Umiraj/Umiraj__Umiraj__UMIRAJ_12.npy,Vomit,umiraj,46
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_19.npy,MUMPSE,naresh,31
landmarks/TB/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_36.npy,TB,arinjit kataki,44
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_25.npy,JAUNDICE,arinjit kataki,30
landmarks/Cramp/Rinki/Rinki__Rinki__WIN_20250602_12_56_14_Pro.npy,Cramp,rinki,14
landmarks/HEAD ACHE/pranati/PRANATI_9.npy,HEAD ACHE,pranati,23
landmarks/DIARRHOEA/Suresh/Suresh__Suresh__SURESH_5.npy,DIARRHOEA,suresh,16
landmarks/Cramp/Junali/Junali__Junali__WIN_20250602_12_03_17_Pro.npy,Cramp,junali,14
landmarks/DIARRHOEA/Akash/Akash__Akash__AKASH_4.npy,DIARRHOEA,akash,16
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_61.npy,STOMACH ACHE,arinjit kataki,39
landmarks/Dizziness/Junali/Junali__Junali__WIN_20250602_11_48_46_Pro.npy,Dizziness,junali,18
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_17.npy,Ear Ache,biraj,19
landmarks/Vomit/Bishal/Bishal__Bishal__BISHAL_20.npy,Vomit,bishal,46
landmarks/Itch/anindita/ANINDITA_31.npy,Itch,anindita,29
landmarks/Hiv/rinki/RINKI_5.npy,Hiv,rinki,27
landmarks/Cold/Kalyan/Kalyan__Kalyan__KALYAN_27.npy,Cold,kalyan,12
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_28.npy,DIARRHOEA,naresh,16
landmarks/Bleed/anindita/ANINDITA_2.npy,Bleed,anindita,6
landmarks/Fever/Rinki/Rinki__Rinki__Rinki_5.npy,Fever,rinki,22
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_27.npy,STD,harkhapratim gogoi,38
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_18.npy,Cut,bishal,15
landmarks/Retching/junali/JUNALI_7.npy,Retching,junali,35
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_57_12_Pro.npy,Fever,rinki,22
landmarks/Allergies/Bishal/Bishal__Bishal__BISHAL_17.npy,Allergies,bishal,1
landmarks/Ear Ache/Umiraj/Umiraj__Umiraj__UMIRAJ_20.npy,Ear Ache,umiraj,19
landmarks/Measles/anindita/ANINDITA_12.npy,Measles,anindita,32
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_40.npy,Ear Ache,biraj,19
landmarks/RUNNY NOSE/prakash/PRAKASH_1.npy,RUNNY NOSE,prakash,33
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_3.npy,Sunburn,biraj,42
landmarks/FLU/prakash/PRAKASH_26.npy,FLU,prakash,20
landmarks/Hiv/anindita/ANINDITA_5.npy,Hiv,anindita,27
landmarks/BROKEN BONES/prakash/PRAKASH_17.npy,BROKEN BONES,prakash,3
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_25.npy,CONJUCTIVITIES,akash,10
landmarks/Cough/Kalyan/Kalyan__Kalyan__KALYAN_25.npy,Cough,kalyan,13
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_32.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/Fever/Junali/Junali__Junali__Junali_2.npy,Fever,junali,22
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_21.npy,Cold,biraj,12
landmarks/Cramp/Junali/Junali__Junali__Junali_25.npy,Cramp,junali,14
landmarks/SORE THROAT/pranati/PRANATI_15.npy,SORE THROAT,pranati,37
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_6.npy,DIARRHOEA,naresh,16
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_41.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/SHOULDER PAIN/pranati/PRANATI_19.npy,SHOULDER PAIN,pranati,36
landmarks/Cold/Umiraj/Umiraj__Umiraj__UMIRAJ_31.npy,Cold,umiraj,12
landmarks/Dizziness/anindita/Anindita_4.npy,Dizziness,anindita,18
landmarks/Measles/anindita/ANINDITA_18.npy,Measles,anindita,32
landmarks/Sore Finger/Rajkumar/Rajkumar__Rajkumar__Rajkumar_3.npy,Sore Finger,rajkumar,41
landmarks/SHOULDER PAIN/prakash/PRAKASH_6.npy,SHOULDER PAIN,prakash,36
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_18.npy,Cough,shubham,13
landmarks/Cramp/Junali/Junali__Junali__WIN_20250602_12_06_04_Pro.npy,Cramp,junali,14
landmarks/Measles/rajkumar/RAJKUMAR_18.npy,Measles,rajkumar,32
landmarks/Swell/Junali/Junali__Junali__Junali_15.npy,Swell,junali,43
landmarks/Sunburn/Bishal/Bishal__Bishal__BISHAL_12.npy,Sunburn,bishal,42
landmarks/Fever/Junali/Junali__Junali__Junali_25.npy,Fever,junali,22
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_9.npy,Tooth ache,rinki,45
landmarks/DIARRHOEA/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_20.npy,DIARRHOEA,arinjit kataki,16
landmarks/Cold/Kalyan/Kalyan__Kalyan__KALYAN_14.npy,Cold,kalyan,12
landmarks/SHOULDER PAIN/arinjit kataki/ARINJIT_24.npy,SHOULDER PAIN,arinjit kataki,36
landmarks/TB/Akash/Akash__Akash__AKASH_8.npy,TB,akash,44
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM13.npy,MUMPSE,harkhapratim gogoi,31
landmarks/Itch/rajkumar/RAJKUMAR_16.npy,Itch,rajkumar,29
landmarks/Retching/rinki/RINKI_18.npy,Retching,rinki,35
landmarks/Cancer/anindita/ANINDITA_22.npy,Cancer,anindita,11
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_30.npy,Cold,bishal,12
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_8.npy,Sneeze,anindita,40
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_59_54_Pro.npy,Fever,rinki,22
landmarks/Bone Fracture/junali/JUNALI_13.npy,Bone Fracture,junali,7
landmarks/FLU/pranati/PRANATI_9.npy,FLU,pranati,20
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_23.npy,CONJUCTIVITIES,akash,10
landmarks/Measles/rinki/RINKI_12.npy,Measles,rinki,32
landmarks/Broken Arm/Biraj/Biraj__Biraj__BIRAJ_30.npy,Broken Arm,biraj,8
landmarks/nausea/rupanjali/RUPANJALI_2.npy,nausea,rupanjali,47
landmarks/Sore Finger/Junali/Junali__Junali__WIN_20250602_11_51_04_Pro.npy,Sore Finger,junali,41
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_2.npy,JAUNDICE,akash,30
landmarks/BROKEN BONES/arinjit kataki/ARINJIT_2.npy,BROKEN BONES,arinjit kataki,3
landmarks/Bleed/rinki/RINKI_16.npy,Bleed,rinki,6
landmarks/ASTHMA/AKASH/AKASH__AKASH__AKASH_16.npy,ASTHMA,akash,0
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_31.npy,Cut,kalyan,15
landmarks/Sneeze/Rajkumar/Rajkumar__Rajkumar__Rajkumar_5.npy,Sneeze,rajkumar,40
landmarks/Swell/Junali/Junali__Junali__Junali_5.npy,Swell,junali,43
landmarks/nausea/rupanjali/RUPANJALI_23.npy,nausea,rupanjali,47
landmarks/HEPATITIS/AKASH/AKASH__AKASH__AKASH_2.npy,HEPATITIS,akash,26
landmarks/HEAD ACHE/chayanika/CHAYANIKA_9.npy,HEAD ACHE,chayanika,23
landmarks/HEAT BURN/pranati/PRANATI_13.npy,HEAT BURN,pranati,25
landmarks/Rash/Bishal/Bishal__Bishal__BISHAL_20.npy,Rash,bishal,34
landmarks/CONJUCTIVITIES/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_6.npy,CONJUCTIVITIES,harkhapratim gogoi,10
landmarks/BROKEN BONES/chayanika/CHAYANIKA_17.npy,BROKEN BONES,chayanika,3
landmarks/Tooth ache/Junali/Junali__Junali__Junali_15.npy,Tooth ache,junali,45
landmarks/RUNNY NOSE/harkhapratim gogoi/HARKAPRATIM_18.npy,RUNNY NOSE,harkhapratim gogoi,33
landmarks/Sore Finger/Anindita/Anindita__Anindita__Anindita_8.npy,Sore Finger,anindita,41
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_16.npy,Tooth ache,rinki,45
landmarks/Bone Fracture/junali/JUNALI_5.npy,Bone Fracture,junali,7
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_12.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Itch/anindita/ANINDITA_7.npy,Itch,anindita,29
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_9.npy,DIARRHOEA,naresh,16
landmarks/Retching/anindita/ANINDITA_16.npy,Retching,anindita,35
landmarks/Cramp/Rinki/Rinki__Rinki__Rinki_13.npy,Cramp,rinki,14
landmarks/Measles/junali/JUNALI_1.npy,Measles,junali,32
landmarks/nausea/rinki/RINKI_13.npy,nausea,rinki,47
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_5.npy,STD,harkhapratim gogoi,38
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_58_16_Pro.npy,Fever,rinki,22
landmarks/Itch/junali/JUNALI_21.npy,Itch,junali,29
landmarks/FLU/chayanika/CHAYANIKA_3.npy,FLU,chayanika,20
landmarks/STOMACH ACHE/prakash/PRAKASH_14.npy,STOMACH ACHE,prakash,39
landmarks/SORE THROAT/prakash/PRAKASH_22.npy,SORE THROAT,prakash,37
landmarks/STOMACH ACHE/prakash/PRAKASH_19.npy,STOMACH ACHE,prakash,39
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_14.npy,Broken Arm,kalyan,8
landmarks/TB/Akash/Akash__Akash__AKASH_36.npy,TB,akash,44
landmarks/Broken Arm/Shubham/Shubham__Shubham__SHUBHAM_25.npy,Broken Arm,shubham,8
landmarks/Back Ache/Anindita/Anindita__Anindita__Anindita_9.npy,Back Ache,anindita,5
landmarks/HEPATITIS/NARESH/NARESH__NARESH__NARESH_5.npy,HEPATITIS,naresh,26
landmarks/Swell/anindita/WIN_20250602_12_23_51_Pro.npy,Swell,anindita,43
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_21_36_Pro.npy,Sneeze,anindita,40
landmarks/Cough/Umiraj/Umiraj__Umiraj__UMIRAJ_21.npy,Cough,umiraj,13
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_7.npy,Vomit,kalyan,46
landmarks/Rash/Bishal/Bishal__Bishal__BISHAL_19.npy,Rash,bishal,34
landmarks/Bleed/anindita/ANINDITA_34.npy,Bleed,anindita,6
landmarks/Cough/Kalyan/Kalyan__Kalyan__KALYAN_1.npy,Cough,kalyan,13
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_39.npy,Ear Ache,biraj,19
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_32.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/Faint/rajkumar/RAJKUMAR_5.npy,Faint,rajkumar,21
landmarks/STD/NARESH/NARESH__NARESH__NARESH_4.npy,STD,naresh,38
landmarks/Cough/Bishal/Bishal__Bishal__BISHAL_16.npy,Cough,bishal,13
landmarks/Dizziness/Rinki/Rinki__Rinki__WIN_20250602_12_35_45_Pro.npy,Dizziness,rinki,18
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_57.npy,STOMACH ACHE,arinjit kataki,39
landmarks/BLOOD PRESSURE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_2.npy,BLOOD PRESSURE,harkhapratim gogoi,2
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_33_22_Pro.npy,Back Ache,rinki,5
landmarks/Itch/anindita/ANINDITA_11.npy,Itch,anindita,29
landmarks/HEAT BURN/pranati/PRANATI_34.npy,HEAT BURN,pranati,25
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_16.npy,STOMACH ACHE,chayanika,39
landmarks/Itch/junali/JUNALI_13.npy,Itch,junali,29
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_59.npy,STOMACH ACHE,arinjit kataki,39
landmarks/Rash/Kalyan/Kalyan__Kalyan__KALYAN_10.npy,Rash,kalyan,34
landmarks/Injury/Bishal/Bishal__Bishal__BISHAL_9.npy,Injury,bishal,28
landmarks/RUNNY NOSE/harkhapratim gogoi/HARKAPRATIM_5.npy,RUNNY NOSE,harkhapratim gogoi,33
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_43.npy,Ear Ache,biraj,19
landmarks/BRUISE/chayanika/CHAYANIKA_11.npy,BRUISE,chayanika,4
landmarks/Allergies/Shubham/Shubham__Shubham__SHUBHAM_15.npy,Allergies,shubham,1
landmarks/HEART ATTACK/AKASH/AKASH__AKASH__AKASH_6.npy,HEART ATTACK,akash,24
landmarks/nausea/anindita/ANINDITA_26.npy,nausea,anindita,47
landmarks/BLOOD PRESSURE/SURESH/SURESH__SURESH__SURESH_2.npy,BLOOD PRESSURE,suresh,2
landmarks/Broken Arm/Biraj/Biraj__Biraj__BIRAJ_18.npy,Broken Arm,biraj,8
landmarks/Back Ache/Rajkumar/Rajkumar__Rajkumar__Rajkumar_1.npy,Back Ache,rajkumar,5
landmarks/CHICKEN POX/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_1.npy,CHICKEN POX,harkhapratim gogoi,9
landmarks/BLOOD PRESSURE/SURESH/SURESH__SURESH__SURESH_1.npy,BLOOD PRESSURE,suresh,2
landmarks/RUNNY NOSE/chayanika/CHAYANIKA_21.npy,RUNNY NOSE,chayanika,33
landmarks/Cold/Kalyan/Kalyan__Kalyan__KALYAN_32.npy,Cold,kalyan,12
landmarks/Allergies/Biraj/Biraj__Biraj__BIRAJ_5.npy,Allergies,biraj,1
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_18.npy,STD,arinjit kataki,38
landmarks/Sore Finger/Rinki/Rinki__Rinki__WIN_20250602_12_37_00_Pro.npy,Sore Finger,rinki,41
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_1.npy,Vomit,kalyan,46
landmarks/FLU/prakash/PRAKASH_2.npy,FLU,prakash,20
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_2.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/Hiv/junali/JUNALI_12.npy,Hiv,junali,27
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_6.npy,CHICKEN POX,arinjit kataki,9
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_34.npy,JAUNDICE,arinjit kataki,30
landmarks/Sore Finger/Anindita/Anindita__Anindita__WIN_20250602_12_18_51_Pro.npy,Sore Finger,anindita,41
landmarks/BRUISE/prakash/PRAKASH_18.npy,BRUISE,prakash,4
landmarks/Bleed/anindita/ANINDITA_7.npy,Bleed,anindita,6
landmarks/Hiv/rajkumar/RAJKUMAR_5.npy,Hiv,rajkumar,27
landmarks/MUMPSE/AKASH/AKASH__AKASH__AKASH_22.npy,MUMPSE,akash,31
landmarks/Sore Finger/Rinki/Rinki__Rinki__WIN_20250602_12_37_26_Pro.npy,Sore Finger,rinki,41
landmarks/Ear Ache/Shubham/Shubham__Shubham__SHUBHAM_3.npy,Ear Ache,shubham,19
landmarks/Back Ache/Rinki/Rinki__Rinki__Rinki_2.npy,Back Ache,rinki,5
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_14.npy,Injury,biraj,28
landmarks/nausea/anindita/ANINDITA_11.npy,nausea,anindita,47
landmarks/BLOOD PRESSURE/NARESH/NARESH__NARESH__NARESH_22.npy,BLOOD PRESSURE,naresh,2
landmarks/Cancer/rajkumar/RAJKUMAR_3.npy,Cancer,rajkumar,11
landmarks/Retching/junali/JUNALI_1.npy,Retching,junali,35
landmarks/HEAT BURN/prakash/PRAKASH_19.npy,HEAT BURN,prakash,25
landmarks/Bleed/rajkumar/RAJKUMAR_55.npy,Bleed,rajkumar,6
landmarks/CHICKEN POX/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_16.npy,CHICKEN POX,harkhapratim gogoi,9
landmarks/HEPATITIS/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_5.npy,HEPATITIS,arinjit kataki,26
landmarks/MUMPSE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_12.npy,MUMPSE,arinjit kataki,31
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_16.npy,Sneeze,anindita,40
landmarks/SORE THROAT/pranati/PRANATI_26.npy,SORE THROAT,pranati,37
landmarks/STD/AKASH/AKASH__AKASH__AKASH_30.npy,STD,akash,38
landmarks/Retching/anindita/ANINDITA_13.npy,Retching,anindita,35
landmarks/TB/Naresh/Naresh__Naresh__NARESH_24.npy,TB,naresh,44
landmarks/HEART ATTACK/NARESH/NARESH__NARESH__NARESH_3.npy,HEART ATTACK,naresh,24
landmarks/Dizziness/anindita/Anindita_11.npy,Dizziness,anindita,18
landmarks/Tooth ache/Junali/Junali__Junali__Junali_4.npy,Tooth ache,junali,45
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_10.npy,STD,arinjit kataki,38
landmarks/HEPATITIS/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_2.npy,HEPATITIS,arinjit kataki,26
landmarks/Swell/Rupanjali/Rupanjali__Rupanjali__Rupanjali_1.npy,Swell,rupanjali,43
landmarks/HEART ATTACK/NARESH/NARESH__NARESH__NARESH_1.npy,HEART ATTACK,naresh,24
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_30.npy,JAUNDICE,akash,30
landmarks/HEAD ACHE/prakash/PRAKASH_9.npy,HEAD ACHE,prakash,23
landmarks/BRUISE/harkhapratim gogoi/HARKAPRATIM_14.npy,BRUISE,harkhapratim gogoi,4
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_10.npy,Ear Ache,bishal,19
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_33.npy,STOMACH ACHE,chayanika,39
landmarks/Retching/anindita/ANINDITA_2.npy,Retching,anindita,35
landmarks/SORE THROAT/arinjit kataki/ARINJIT_18.npy,SORE THROAT,arinjit kataki,37
landmarks/Injury/Umiraj/Umiraj__Umiraj__UMIRAJ_18.npy,Injury,umiraj,28
